nothing,bug,vcl
,Symlinks are not followed,
,Broadcast beacon should not exit after single write error,
,Usage report does not work on IPv6-only hosts.,
,Support for file encryption (e.g. non-trusted servers),
,dst crerate chmod: operation not permitted on FreeNAS,
,Port 0 listen address gets announced to discovery servers,
,Separate bind address and actual server address,
,Panic when connecting to relay via SOCKS proxy,
,Specifying -logfile has no effect when -no-restart used,
,"Syncing issues, database missing sequence entries",
,Do not synchronize non-exist folders,
,puller: Stuck with INFO: Puller no such file or directory,
,[Feature request] Conditional ignores,
,Discovery server: AWS Fargate/ALB setup header issues,
,All files deleted on first sync if repo root is symlink,
,Syncthing crashes multiple times and exits when scanning a specific folder,
,SIGILL: illegal instruction,
,Feature Request: Add a Grouping option for simple visual organization,
,MacOS 10.12 incompatibility,
,Request: add a subcommand to override the default identity.,
,v0.9.0-beta7: gui status for repo flashes purple when checking if a sync is necessary,
,The latest version does not support go1.18 compilation!!,
,how to ignore delete operationgs，only do incremental synchronization,
,Did not start scanning within the specified time range,
,archive folder,
,Incorrect completion percent shown,
,error: file with empty block list,
,syncthing -generate=blah doesn't generate a device ID with existing certs,
,Meshed syncthing devices synchronize very slowly,
,Crash on node connection,
,"Web UI reloads ad infinitum ""unkown device"", v0.11.2",
,Windows installer,
,Warn against running as a privileged user,
,0.11.9 RPMS for Centos 6/7,
,"Repeated ""stopping folder"" when the folder is already stopped",
,Ubuntu Linux 32 bit reports Announce Server Offline,
,Syncthing needs more socks5 proxy support,
,Files are synced but syncthing reports 67% on one end,
,"Running a ""private"" global announce server",
,Is there an architecture document somewhere?,
,Web UI doesn't handle long machine names well,
,Bug report with Capitalization in Windows 10,
,wont make progress,
,Will not restart until scanning is finished,
,Allow globs in include directive for .stignore,
,All files failed to sync because one file name is too long,
,Syncing to a folder with ACLs fails silently,
,Browser folder type,
,Status Idle but still needed files,
,Race condition on directory delete / modification,
,error,
,Bcrypt Disabled In Debian,
,Web GUI - formatting issue,
,panic: bug: unknown device should already have been rejected,
,WARNING: multicast interfaces: netlink rib: invalid argument,
,Feature Request: Custom file extensions,
,Limit number of relay connections,
,site down,
,Staggered file versioning - files missing in .stversions,
,Exclude paths options for sync directory,
,crash because index too big,
,Compilation error,
,Reload config from command line without killing the process,
,wont connect(fixed with direct connect) + crash,
,Syncthing upgrade restarts monitor process,
,Linux x86_64 - 0.12.16 update fail - pkill: invalid option -- 'H',
,Global discovery servers not retried for 5xx class HTTP errors,
,APT packages for arm should be armhf?,
,master branch windows watcher setup fails,
,Webinterface does not append changes,
,Expose discovered device IDs in Web interface,
,syncthing cannot delete directory that contains only an .stignored file,
,Random hanging and low speed of syncing,
,suggestion: a new way to expand folders?,
,Why should the global size containing a receiveonly directory size?,
,11.25 on amd64 linux: crashes ungracefully when disk full,
,Limit folder concurrency to improve performance,
,Future Bug,
,Hardlinks aren't maintained,
,Consider using a faster globber for ignores,
,Last synced time?,
,Missing API call to force override,
,"Synthing appears not synced, global state different on both, last seen days ago",
,"Build Debian packages of extra targets (stdiscosrv, strelaysrv, strelaypoolsrv)",
,Folder path select menu drops off screen without a scroll bar to reach all the options.,
,Create Unix dotfiles as hidden files in Windows,
,panic: Stop called more than once on ... created by nat.Service,
,Full re-sync folder after rotation files,
,Fixing unexpected behaviour with switching Languages via URL,
,what about using fsnotify instead of scan every interval.,
,Files not receiving,
,Data loss during Android 11 upgrade,
,"Crash, log included.",
,All kinds of problems trying to sync between MacOSX and android,
,Remove macOS 32 bit builds,
,Misleading error message when to be deleted dir contains receive-only changes,
,Minimum free disk space should default to a saner value,
,Recent changes causing syncthing and syncthing-gtk UI errors,
,Delta indexes doesn't play well with changing ignores,
,"Missing "" / "" at the beginning folder paths added using dropdown list",
,Cannot read property 'split' of undefined when sharing new folders,
,Syncthing autoupgrade does not check downloaded binary is correct,
,Problems when syncing between untrusted devices,
,"clarify relationship to ""pulse""",
,Automatic error log sending to dev. team,
,Not Syncing,
,GUI: Change certificate for https,
,GUI should show relevant connection errors,
,BlackBerry OS 10,
,Out of Sync error with .stignore in use,
,protocol: error due to filename not in canonical format,
,Allow for multiple ip binds,
,Add support for TLS1.3,
,Add field sync-state for REST endpoint /rest/system/connections,
,Strict mode for different operating systems and filesystems?,
,Can't change default folder parameters.,
,Adding a new device and/or folder or toggling listen addresses or NAT settings should not require restart,
,Support multiple GUI listen addresses,
,Path assistant in Windows should not be case sensitive,
,Can't upgrade to 1.19.1 on Android 6.0.1,
,Truncated Display,
,PDF files on releases are nginx error 301 web pages.,
,Folders with trailing spaces causing trouble?,
,Full CPU usage,
,"""Do not send changes"" flag for trusted read-only nodes",
,Selective Sync,
,Panic on Windows 10 with filesystem watching,
,"After missing folder is found again, the error message stays:",
,Problem with .stfolder,
,GUI Error using IPv6 Addresses,
,Cannot copy paste node id in Firefox on Linux,
,Input/output error on compacting database,
,Encoding issue with folder-label and folder-id,
,"Relay cannot be disable, or use specified relay site.",
,gui: Connection error dialog not visible,
,syncthing doesn't handle sparse files optimally,
,Commas in the .stignore files need to be escaped,
,Problem to sync file's attributes,
,Update the list of packages and their copyrights in the about modal,
,Send only folder out of sync due to ignored items,
,upnp: windows 32bit UDP ReadFrom never return,
,Add confirmation on Remove Folder / Device button,
,Certificate for relaysrv with better naming,
,use a .stfolder to keep all syncthing related files inside...,
,Doesn't build on Darwin with Go 1.10,
,Should honor umask when creating shared folder,
,Small issues in 0.10.9,
,Go tests FAIL,
,"Outdated copyright notes in ""About"" dialog",
,Some sync errors get cleared despite them still being valid,
,panic: runtime error: close of nil channel,
,Doesn't sync at all,
,"""Introducer"" should not automatically share nested folders if their parent is already shared between the same devices",
,invalid length,
,lib/model: Progress emitter runs way too often,
,Panic on running out of memory on ASUS RT-AC68R router,
,"UI text explaining ""Introducer"" setting on devices is misleading",
,"The number of ""Out of Sync Items"" is growing even when they are unchanged files",
,Syncthing attempts to remove .stversions directory with trashcan versioning,
,Docker and Port Forwarding,
,"return to the main web gui, when clicking outside a ""popup"" or pressing Esc",
,Suggestion: Continuous Fuzzing,
,Panic when sending download progress message,
,Disable compression by default,
,"""file busy"" upon synchronisation",
,Suggestion: add incremental backup function,
,Incorrect sorting on Statistics Page,
,"""no godep, using go get instead"" even though I ran ""go get github.com/tools/godep""",
,Usage Reporting prompt displays immediately,
,Sync between Linux and OS X causes massive unicode errors,
,Show hash of the file from api call,
,reports files with long filenames as out of sync,
,Build failing on current master?,
,syncthing starts with invalid xml file,
,Transport of 4.3 Millions of files very slow on restart the Client,
